gameid;tournament;gametype;teamA;teamB;resultA;resultB;addinfo;teamA_age;teamB_age;teamA_def_val;teamB_def_val;teamA_off_val;teamB_off_val;teamA_frag;teamB_frag
2768218;AC17;Gruppe B;Simbabwe;Tunesien;2;4;;26.08695652173913;25.681818181818183;281818.1818181818;1432142.857142857;872727.2727272727;2218750.0;20;13
2768217;AC17;Gruppe B;Senegal;Algerien;2;2;;26.363636363636363;26.1;5141666.666666667;2213636.3636363638;7275000.0;11288888.888888888;20;18
2768209;AC17;Gruppe B;Algerien;Tunesien;1;2;;25.857142857142858;25.956521739130434;2304545.4545454546;1417857.142857143;10360000.0;2061111.111111111;19;13
2768210;AC17;Gruppe B;Senegal;Simbabwe;2;0;;26.272727272727273;26.09090909090909;5683333.333333333;425000.0;8975000.0;566666.6666666666;20;19
2768201;AC17;Gruppe B;Algerien;Simbabwe;2;2;;26.17391304347826;26.043478260869566;2553571.4285714286;425000.0;10816666.666666666;730000.0;21;20
2768202;AC17;Gruppe B;Tunesien;Senegal;0;2;;25.91304347826087;26.217391304347824;1435714.2857142857;5200000.0;2061111.111111111;8758333.333333334;13;21
2768220;AC17;Gruppe C;Togo;Demokratische-Republik-Kongo;1;3;;27.304347826086957;25.45;500000.0;1672727.2727272727;1366666.6666666667;3811111.111111111;21;17
2768219;AC17;Gruppe C;Marokko;Elfenbeinküste;1;0;;26.90909090909091;25.434782608695652;3022222.222222222;5065384.615384615;2250000.0;7260000.0;22;22
2768211;AC17;Gruppe C;Elfenbeinküste;Demokratische-Republik-Kongo;2;2;;25.434782608695652;25.727272727272727;4479166.666666667;1759090.9090909092;7690909.090909091;3581818.1818181816;22;19
2768212;AC17;Gruppe C;Marokko;Togo;3;1;;26.782608695652176;27.304347826086957;2750000.0;500000.0;2442307.6923076925;1400000.0;23;21
2768203;AC17;Gruppe C;Elfenbeinküste;Togo;0;0;;25.434782608695652;27.26086956521739;5057692.307692308;416666.6666666667;7260000.0;1511111.111111111;22;21
2768204;AC17;Gruppe C;Demokratische-Republik-Kongo;Marokko;1;0;;25.608695652173914;26.782608695652176;1538461.5384615385;2650000.0;3880000.0;2442307.6923076925;20;23
2768222;AC17;Gruppe D;Uganda;Mali;1;1;;24.608695652173914;25.17391304347826;196153.84615384616;703571.4285714285;227500.0;2872222.222222222;18;21
2768221;AC17;Gruppe D;Ägypten;Ghana;1;0;;26.904761904761905;25.181818181818183;1623076.923076923;1322727.2727272727;5337500.0;4627272.7272727275;14;21
2768213;AC17;Gruppe D;Ghana;Mali;1;0;;25.181818181818183;25.17391304347826;1629166.6666666667;703571.4285714285;4640000.0;2872222.222222222;21;21
2768214;AC17;Gruppe D;Ägypten;Uganda;1;0;;27.0;24.608695652173914;1423076.923076923;208333.33333333334;5188888.888888889;211363.63636363635;14;18
2768205;AC17;Gruppe D;Ghana;Uganda;1;0;;25.043478260869566;24.80952380952381;2690000.0;181818.18181818182;4762500.0;250000.0;21;17
2768206;AC17;Gruppe D;Mali;Ägypten;0;0;;25.17391304347826;26.91304347826087;710714.2857142857;1450000.0;2761111.111111111;5188888.888888889;21;14
1074995;AM11;Finale;Australien;Japan;0;1;n.V.;27.608695652173914;25.238095238095237;1862500.0;1785714.2857142857;3368181.8181818184;3314285.714285714;22;15
1074994;AM11;Spiel um Platz Drei;Usbekistan;Südkorea;2;3;;26.0;24.772727272727273;316666.6666666667;1158333.3333333333;627500.0;1505000.0;14;16
1074870;AM11;Halbfinale;Japan;Südkorea;5;3;n.E.;25.142857142857142;24.956521739130434;1854166.6666666667;1165384.6153846155;3633333.3333333335;2580000.0;15;17
1074871;AM11;Halbfinale;Usbekistan;Australien;0;6;;26.043478260869566;28.857142857142858;330555.55555555556;2708333.3333333335;569230.7692307692;4093750.0;16;13
1074103;AM11;Viertelfinale;Australien;Irak;1;0;n.V.;27.5;24.391304347826086;1813636.3636363635;163636.36363636365;3450000.0;454545.45454545453;21;16
1074105;AM11;Viertelfinale;Iran;Südkorea;0;1;n.V.;27.304347826086957;24.91304347826087;1354545.4545454546;1165384.6153846155;825000.0;2580000.0;11;17
1074104;AM11;Viertelfinale;Japan;Katar;3;2;;25.095238095238095;23.869565217391305;1576923.076923077;207692.3076923077;3900000.0;300000.0;15;6
1074102;AM11;Viertelfinale;Usbekistan;Jordanien;2;1;;26.043478260869566;25.91304347826087;277777.77777777775;141666.66666666666;605769.2307692308;172222.22222222222;16;10
1023757;AM11;Gruppe A;China;Usbekistan;2;2;;24.73913043478261;25.956521739130434;271875.0;309375.0;282142.85714285716;564285.7142857143;12;16
1023756;AM11;Gruppe A;Katar;Kuwait;3;0;;24.26086956521739;25.043478260869566;210714.2857142857;500000.0;366666.6666666667;500000.0;7;5
