gameid,tournament,gametype,team,teamid,result,age,diff_value_1,diff_value_2,past_result
88052,EM08,Gruppe D,Russland,3448,2,25.565217391304348,-1185984.8484848477,-0.10904088597896489,0.952375
88052,EM08,Gruppe D,Schweden,3557,0,28.38095238095238,1185984.8484848477,0.09831998743915837,1.0046249999999999
88051,EM08,Gruppe D,Griechenland,3378,1,28.842105263157894,-25481818.18181818,-3.412051125989044,1.949875
88051,EM08,Gruppe D,Spanien,3375,2,25.863636363636363,25481818.18181818,0.7733480480066216,2.8977375
88043,EM08,Gruppe D,Schweden,3557,1,28.38095238095238,-21906730.769230768,-1.8161020326823434,0.097375
88043,EM08,Gruppe D,Spanien,3375,2,26.043478260869566,21906730.769230768,0.6448992300724637,2.8528499999999997
88044,EM08,Gruppe D,Griechenland,3378,0,28.454545454545453,-1644978.632478634,-0.19737719208286353,0.95724970234375
88044,EM08,Gruppe D,Russland,3448,1,25.5,1644978.632478634,0.16484128258658537,1.9072565156249999
88035,EM08,Gruppe D,Spanien,3375,4,26.043478260869566,23902564.1025641,0.703653381642512,0.049875
88035,EM08,Gruppe D,Russland,3448,1,25.5,-23902564.1025641,-2.374426897605705,0.0
88036,EM08,Gruppe D,Griechenland,3378,0,28.695652173913043,-3477579.3650793657,-0.4234495421710034,1.9949999999999999
88036,EM08,Gruppe D,Schweden,3557,2,28.695652173913043,3477579.3650793657,0.2974812451203368,1.045
1129109,CA11,Finale,Uruguay,3449,3,27.130434782608695,9511955.12820513,0.6301220654087143,1.9027371882421875
1129109,CA11,Finale,Paraguay,3581,0,27.347826086956523,-9511955.12820513,-1.703594636173682,0.0476428139453125
1129108,CA11,Spiel um Platz Drei,Peru,3584,4,25.681818181818183,-798090.6593406596,-0.4829073681585838,0.9976365773864406
1129108,CA11,Spiel um Platz Drei,Venezuela,3504,1,26.82608695652174,798090.6593406596,0.32564904492870606,2.8552309397268405
1128035,CA11,Halbfinale,Paraguay,3581,5,27.318181818181817,3037499.9999999995,0.5647660365664704,2.9499937500743063
1128035,CA11,Halbfinale,Venezuela,3504,3,27.0,-3037499.9999999995,-1.2976148095407614,2.897862189726562
1128034,CA11,Halbfinale,Peru,3584,0,25.73913043478261,-12864807.692307692,-4.955149809266324,0.9978571406992187
1128034,CA11,Halbfinale,Uruguay,3449,2,26.857142857142858,12864807.692307692,0.8320781118815883,0.9642503266033202
1127606,CA11,Viertelfinale,Chile,3700,1,26.130434782608695,6773106.060606061,0.7414579532260739,0.10225592270253905
1127606,CA11,Viertelfinale,Venezuela,3504,2,26.82608695652174,-6773106.060606061,-2.867842822774659,0.0997559671875
1127604,CA11,Viertelfinale,Argentinien,3437,5,26.181818181818183,29418881.11888112,0.6709569377990431,1.0454990765624999
1127604,CA11,Viertelfinale,Uruguay,3449,6,27.40909090909091,-29418881.11888112,-2.039115893558238,0.050124686718750006
1127605,CA11,Viertelfinale,Brasilien,3439,0,26.136363636363637,24967820.512820512,0.8208598524762908,1.9954809694511717
1127605,CA11,Viertelfinale,Paraguay,3581,2,27.347826086956523,-24967820.512820512,-4.582221594786004,1.9523806258164063
1127603,CA11,Viertelfinale,Kolumbien,3816,0,26.869565217391305,5271098.484848485,0.6731340395685194,1.0004812210173828
1127603,CA11,Viertelfinale,Peru,3584,2,25.73913043478261,-5271098.484848485,-2.0593580276145804,0.9523868898456982
1103452,CA11,Gruppe A,Argentinien,3437,3,26.217391304347824,43563571.42857143,0.9973671300081766,0.1425
1103452,CA11,Gruppe A,Costa Rica,8497,0,22.136363636363637,-43563571.42857143,-378.8136645962733,0.095
1103451,CA11,Gruppe A,Kolumbien,3816,2,26.82608695652174,6782651.515151515,0.8644908994351373,1.902494360894531
1103451,CA11,Gruppe A,Bolivien,5233,0,27.523809523809526,-6782651.515151515,-6.379578167307966,2.3764917968750003e-05
1103446,CA11,Gruppe A,Bolivien,5233,0,27.869565217391305,910606.0606060605,0.9010494752623688,0.0
1103446,CA11,Gruppe A,Costa Rica,8497,2,21.904761904761905,-910606.0606060605,-9.106060606060606,3.8
1103445,CA11,Gruppe A,Argentinien,3437,0,26.217391304347824,33436188.81118881,0.8059153695104376,1.0071369061717772
1103445,CA11,Gruppe A,Kolumbien,3816,0,26.82608695652174,-33436188.81118881,-4.152391497861438,0.09975029765429688
1103439,CA11,Gruppe A,Argentinien,3437,1,26.217391304347824,40414219.114219114,0.9741074413365134,1.09762437421875
